season,region,epi_week_of_season,cases,hospitalizations,deaths,population,cases_per_100k,hospitalizations_per_100k,deaths_per_100k
2026/2027,North,36,10947.118487761,151.02420544350002,17.1147376275,127832161,8.563665357860138,0.1181425740299423,0.013388444264428886
2026/2027,North,37,11901.507190961001,152.63568529650001,17.106174534,127832161,9.310260499281554,0.11940319564534313,0.013381745564013427
2026/2027,North,38,11912.3390301015,142.1439911235,22.601684235500002,127832161,9.318733984401234,0.11119579768623328,0.017680749553705816
2026/2027,North,39,11529.933811263501,165.32665769000002,19.3821220675,127832161,9.019587653895252,0.12933103563038414,0.015162164134501332
2026/2027,North,40,11440.7150199425,146.4095739,16.744457858,127832161,8.949793956735581,0.11453265966457377,0.013098783378933882
2026/2027,North,41,9763.736821213,146.19218158,17.415601513000002,127832161,7.6379345736109405,0.11436259892375598,0.013623802786999746
2026/2027,North,42,10423.493710671,149.6370092095,19.443638430500002,127832161,8.154046391088546,0.1170574040514734,0.015210286893687109
2026/2027,North,43,11048.361584041,158.93734071900002,17.4204841735,127832161,8.642865377235546,0.12433282788593399,0.013627622373918877
2026/2027,North,44,9381.954939433,152.4341456465,19.120920068,127832161,7.339275864571358,0.11924553606388616,0.014957832143665318
2026/2027,North,45,11639.9268530315,158.356887193,17.1651457795,127832161,9.105632543465726,0.12387875316681848,0.013427877339490493
2026/2027,North,46,11069.728184155001,163.4884219355,24.7129759995,127832161,8.659579950428125,0.1278930283713971,0.01933236190812733
2026/2027,North,47,11232.052040820001,155.9415603305,16.3705542865,127832161,8.78656196762566,0.12198930152678872,0.012806287681000715
2026/2027,North,48,11029.556171505501,122.41861448600001,19.3854771025,127832161,8.628154358984434,0.09576511382452496,0.015164788697032198
2026/2027,North,49,10118.5216847095,154.308563703,15.6291237725,127832161,7.915474169844864,0.1207118478604144,0.012226284567386763
2026/2027,North,50,11408.415098155001,152.2852931305,15.857641076,127832161,8.924526511098408,0.11912909234985085,0.012405048113048796
2026/2027,North,51,10569.068903317,148.838154608,15.4221014735,127832161,8.267926334529385,0.11643247946657179,0.01206433604255505
2026/2027,North,52,10130.199020586,152.82946822300002,19.625932567,127832161,7.924609066560332,0.11955478733008355,0.015352891176579578
2026/2027,South,1,23193.635968839502,377.5925665425,29.339979147,101669774,22.812715182035816,0.37139117329256577,0.028858113864795254
2026/2027,South,2,6175.9784590195,120.310178375,3.3538882665000003,101669774,6.074547248447214,0.11833426360817917,0.0032988056671592486
2026/2027,South,3,5441.582142032001,96.76541645600001,6.0709676645,101669774,5.3522122927429745,0.09517618919463715,0.005971261099193552
2026/2027,South,4,5666.034904724001,98.01667340050001,7.3908107895,101669774,5.572978754456561,0.09640689611496531,0.007269427774571427
2026/2027,South,5,5636.970963347,95.531697268,7.214088801000001,101669774,5.544392144854183,0.0939627319993846,0.007095608180460793
2026/2027,South,6,6744.9613483225,93.60098436700001,3.5807337495000002,101669774,6.634185444655853,0.09206372817057704,0.0035219255523278726
2026/2027,South,7,7085.804709095,135.3268247295,6.576724235,101669774,6.969430962928078,0.13310428400234273,0.0064687113743362905
2026/2027,South,8,9983.280991882,154.86400675800002,9.131085007,101669774,9.819320530683976,0.15232059703211304,0.008981120590471658
2026/2027,South,9,15252.660798002002,286.3769111725,10.475956473500002,101669774,15.002158653369293,0.2816735986572568,0.010303904554268018
2026/2027,South,10,32845.349606463,606.4822688625001,45.294688875000006,101669774,32.305913856426,0.5965217045358044,0.044550791344338
2026/2027,South,11,90930.076707361,1589.5361754465,102.865984011,101669774,89.4366861751468,1.5634304207723526,0.10117656405039317
2026/2027,South,12,297648.425658466,4463.8546755225,316.752203725,101669774,292.7599953733211,4.390542537767911,0.3115500224530842
2026/2027,South,13,810646.8460495371,13710.570728585502,902.274548548,101669774,797.3331838522009,13.485395107286756,0.887456038358067
2026/2027,South,14,1809483.94789709,29244.059298876502,1693.2497449635,101669774,1779.7658799724393,28.76376935673773,1.6654406500042973
2026/2027,South,15,3026926.8034039442,41527.525893704005,2998.5192820635,101669774,2977.214057153254,40.84549838155832,2.9492730868699484
2026/2027,South,16,2241801.9456368545,39053.275391115,2785.789874611,101669774,2204.9837010917863,38.411883743456535,2.74003744181727
2026/2027,South,17,1246636.4914490646,21627.964080508,1185.0359073085,101669774,1226.1623513091163,21.27275711314948,1.1655734646449594
2026/2027,South,18,402183.099649437,7048.7745952450005,431.3430650655,101669774,395.5778436661392,6.933009013322879,0.42425890025633384
2026/2027,South,19,65455.450295658,1216.0396564305001,87.4536159495,101669774,64.38044240725665,1.1960680235509327,0.08601732108650109
2026/2027,South,20,14438.8721212525,225.02169356800002,17.758713613,101669774,14.201735238688048,0.22132604875073295,0.017467053298456235
2026/2027,South,21,10439.3607186065,163.56315465050002,9.755263057,101669774,10.267909829923001,0.16087687442926749,0.00959504744940222
2026/2027,South,22,13378.682857355001,260.2783712785,15.9628301005,101669774,13.158957998032927,0.2560036882530102,0.015700664487067712
2026/2027,South,23,24058.896111695,427.7941844255,20.823442899,101669774,23.663764720963187,0.4207683046738159,0.020481448988959098
2026/2027,South,24,48188.9961155895,729.679895039,54.615982343000006,101669774,47.397563916675466,0.7176959939332609,0.05371899650627728
2026/2027,South,25,90315.991095758,1592.1392212875,111.31993732500001,101669774,88.83268600140491,1.5659907154780337,0.10949167382333318
2026/2027,South,26,185198.02146217952,3119.750498877,210.121309047,101669774,182.15642090655135,3.068513262237605,0.2066703807633132
2026/2027,South,27,315288.1848379935,5776.0447611335,396.99514130250003,101669774,310.11004788698904,5.681181863484324,0.39047508977692824
2026/2027,South,28,472752.77391662,8983.885751443,477.5991907305,101669774,464.9885165640478,8.83633886256401,0.4697553382291378
2026/2027,South,29,506792.2159076595,9147.139791633,615.735320258,101669774,498.4689116232908,8.99691169927554,0.6056227883992346
2026/2027,South,30,314235.597206138,5298.732945948001,433.02338723950004,101669774,309.07474743293716,5.211709181086603,0.4259116256513957
2026/2027,South,31,167611.27428310702,2528.4646516760004,178.0694789965,101669774,164.85850975050562,2.4869384008623845,0.17514495409078024
2026/2027,South,32,44131.435187838004,690.355361835,49.885343942000006,101669774,43.40664235944697,0.6790173073808544,0.04906605176677191
2026/2027,South,33,10525.7763934285,186.35699284900002,12.340850132500002,101669774,10.352906256512874,0.1832963579214802,0.012138170123698713
2026/2027,South,34,5966.4011293405,98.04392035000001,6.1587226775,101669774,5.868411913004253,0.09643369557406513,0.006057574867334711
2026/2027,South,35,5478.4267695445005,90.64363477200001,7.676776706000001,101669774,5.388451802346389,0.08915494862022612,0.007550697128529076
2026/2027,South,36,5695.846986978,91.8599007895,3.7987131865,101669774,5.602301217840811,0.09035123928720447,0.0037363250030436773
2026/2027,South,37,5292.430700671501,79.9367843735,8.189098678,101669774,5.205510440764333,0.07862394222839524,0.00805460497827014
2026/2027,South,38,4973.5814370205,75.78272673400001,5.210081039,101669774,4.891897799458569,0.0745381087736066,0.005124513249139317
2026/2027,South,39,5799.433656017501,93.174573483,4.8090260205,101669774,5.704186630745831,0.09164432044768783,0.004730044959576679
2026/2027,South,40,4787.5088107825,102.47513897900001,7.0751373520000005,101669774,4.708881137851748,0.10079213806357042,0.0069589388012212955
2026/2027,South,41,6129.743566099501,91.857479125,5.4122851115,101669774,6.029071694503325,0.0903488573949225,0.0053233964221264035
2026/2027,South,42,5467.474338783,101.8631788375,6.0969857880000005,101669774,5.377679248881777,0.10019022845226351,0.005996851913922814
2026/2027,South,43,5632.9752417485,87.13077372000001,4.643730813,101669774,5.540462047007698,0.08569978105783929,0.004567464478675835
2026/2027,South,44,4994.8927491935,109.1875226665,6.387438812500001,101669774,4.912859105198267,0.10739428088676582,0.006282534681841626
2026/2027,South,45,6131.332644453,86.134579931,5.5985021585000005,101669774,6.030634674621191,0.08471994826210591,0.005506555132600177
2026/2027,South,46,5224.2353861070005,94.572560732,4.1852021505,101669774,5.13843513226163,0.09301934784668647,0.004116466463769262
2026/2027,South,47,5274.0900252965,101.611313818,6.183799510500001,101669774,5.187470983555545,0.09994249993906743,0.006082239850852822
2026/2027,South,48,5621.659615708,93.5746704015,5.500935883,101669774,5.529332263203418,0.09203784637261021,0.005410591237273725
2026/2027,South,49,5609.2731289545,98.23988213000001,6.7875871850000005,101669774,5.517149205971974,0.09662643897487175,0.006676111215709007
2026/2027,South,50,5372.97639043,104.15912732500001,5.8958174745,101669774,5.284733288017341,0.1024484694192396,0.005798987489143037
2026/2027,South,51,5503.1017929765,76.70238859050001,5.1182718215000005,101669774,5.412721575417783,0.07544266655938471,0.0050342118607443745
2026/2027,South,52,5289.4650379135,101.5328639735,5.401342730500001,101669774,5.202593484582252,0.0998653385159487,0.005312633753370988
