season,week,week_start,target,q05,q25,q50,q75,q95
2026/2027,28,2027-01-04,deaths,1518.2881416139999,2301.7591756750003,2386.6748916250003,2434.870297975,4525.632925825
2026/2027,29,2027-01-11,cases,1106915.245569765,1721045.5839252844,1760822.02735497,1774252.3945279445,3342786.0946209216
2026/2027,29,2027-01-11,hospitalizations,13840.695705815875,23382.34766686,23990.52779461,24248.88959793625,48184.048027472476
2026/2027,29,2027-01-11,deaths,1496.5297076652998,2305.989624319,2390.905340269,2439.1007466190003,4529.8633744690005
2026/2027,30,2027-01-18,cases,513995.3964851925,1120955.160579825,1160731.6040095105,1174161.9711824849,2742695.671275462
2026/2027,30,2027-01-18,hospitalizations,5834.165857769601,15255.875485916002,15864.055613666002,16122.41741699225,40057.575846528474
2026/2027,30,2027-01-18,deaths,984.6523445496999,1764.8446979875002,1849.7604139375,1897.9558202875,3988.7184481375
2026/2027,31,2027-01-25,cases,25975.894295466514,482338.8274950994,522115.27092478506,535545.6380977595,2104079.3381907362
2026/2027,31,2027-01-25,hospitalizations,321.5002950850501,6883.442404075001,7491.622531825001,7749.984335151251,31685.142764687473
2026/2027,31,2027-01-25,deaths,149.09956520129995,707.718224492,792.633940442,840.829346792,2931.5919746420004
2026/2027,32,2027-02-01,cases,0.0,98595.03388393039,138371.47731361602,151801.8444865904,1720335.5445795674
2026/2027,32,2027-02-01,hospitalizations,0.0,1445.3012119020002,2053.4813396520003,2311.8431429782504,26247.001572514473
2026/2027,32,2027-02-01,deaths,0.0,144.5589489815,225.4149041985,273.6103105485,2364.3729383985
2026/2027,33,2027-02-08,cases,0.0,3780.330517880127,35051.9985453015,48482.365718275876,1617016.065811253
2026/2027,33,2027-02-08,hospitalizations,0.0,48.80798335950004,522.9237979615,781.2856012877501,24716.444030823972
2026/2027,33,2027-02-08,deaths,0.0,4.9929646230000015,45.5984034345,93.79380978450001,2184.5564376345
2026/2027,34,2027-02-15,cases,0.0,0.0,18338.349444277002,31768.71661725138,1600302.4167102284
2026/2027,34,2027-02-15,hospitalizations,0.0,0.0,254.43804149300001,512.79984481925,24447.95827435547
2026/2027,34,2027-02-15,deaths,0.0,0.9811095250000005,27.663050635500003,75.8584569855,2166.6210848355004
2026/2027,35,2027-02-22,cases,0.0,0.0,15782.145614831,29212.512787805375,1597746.2128807823
2026/2027,35,2027-02-22,hospitalizations,0.0,0.0,234.53062781800003,492.89243114425005,24428.050860680472
2026/2027,35,2027-02-22,deaths,0.0,0.0,27.644816618500002,75.8402229685,2166.6028508185
2026/2027,36,2027-03-01,cases,0.0,0.0,16642.965474739,30073.332647713378,1598607.0327406903
2026/2027,36,2027-03-01,hospitalizations,0.0,0.0,242.884106233,501.24590955925004,24436.404339095472
2026/2027,36,2027-03-01,deaths,0.0,0.2774077199999999,20.913450814,69.108857164,2159.871485014
2026/2027,37,2027-03-08,cases,0.0,0.0,17193.9378916325,30624.305064606877,1599158.0051575839
2026/2027,37,2027-03-08,hospitalizations,0.0,0.0,232.57246967,490.93427299625,24426.09270253247
2026/2027,37,2027-03-08,deaths,0.0,0.36456574499999994,25.295273212,73.49067956200001,2164.253307412
2026/2027,38,2027-03-15,cases,0.0,0.0,16885.920467122,30316.28764009638,1598849.9877330733
2026/2027,38,2027-03-15,hospitalizations,0.0,0.0,217.92671785750002,476.28852118375005,24411.446950719972
2026/2027,38,2027-03-15,deaths,0.0,0.26041069600000033,27.8117652745,76.0071716245,2166.7697994745004
2026/2027,39,2027-03-22,cases,0.0,0.0,17329.367467281,30759.734640255378,1599293.4347332323
2026/2027,39,2027-03-22,hospitalizations,0.0,0.0,258.501231173,516.86303449925,24452.02146403547
2026/2027,39,2027-03-22,deaths,0.0,0.1633244555000004,24.191148088000002,72.386554438,2163.1491822880002
2026/2027,40,2027-03-29,cases,0.0,0.0,16228.223830725,29658.591003699377,1598192.2910966764
2026/2027,40,2027-03-29,hospitalizations,0.0,0.0,248.884712879,507.24651620525003,24442.404945741473
2026/2027,40,2027-03-29,deaths,0.0,0.0,23.819595210000003,72.01500156,2162.7776294100004
2026/2027,41,2027-04-05,cases,0.0,0.0,15893.4803873125,29323.84756028688,1597857.547653264
2026/2027,41,2027-04-05,hospitalizations,0.0,0.0,238.049660705,496.41146403125003,24431.569893567474
2026/2027,41,2027-04-05,deaths,0.0,0.9696587970000009,22.827886624500003,71.02329297450001,2161.7859208245
2026/2027,42,2027-04-12,cases,0.0,0.0,15890.968049454,29321.335222428377,1597855.0353154053
2026/2027,42,2027-04-12,hospitalizations,0.0,0.0,251.50018804700002,509.86199137325,24445.020420909474
2026/2027,42,2027-04-12,deaths,0.0,0.8992621709999999,25.5406242185,73.7360305685,2164.4986584185
2026/2027,43,2027-04-19,cases,0.0,0.0,16681.3368257895,30111.70399876388,1598645.404091741
2026/2027,43,2027-04-19,hospitalizations,0.0,0.0,246.06811443900003,504.42991776525,24439.588347301473
2026/2027,43,2027-04-19,deaths,0.0,0.0,22.0642149865,70.2596213365,2161.0222491865
2026/2027,44,2027-04-26,cases,0.0,0.0,14376.847688626502,27807.214861600878,1596340.9149545778
2026/2027,44,2027-04-26,hospitalizations,0.0,0.0,261.621668313,519.9834716392501,24455.141901175473
2026/2027,44,2027-04-26,deaths,0.0,1.9594177725000006,25.5083588805,73.70376523050001,2164.4663930805
2026/2027,45,2027-05-03,cases,0.0,0.0,17771.2594974845,31201.626670458878,1599735.3267634357
2026/2027,45,2027-05-03,hospitalizations,0.0,0.0,244.491467124,502.85327045025,24438.011699986473
2026/2027,45,2027-05-03,deaths,0.0,0.6832401700000003,22.763647938,70.959054288,2161.7216821380002
2026/2027,46,2027-05-10,cases,0.0,0.0,16293.963570262002,29724.330743236376,1598258.0308362134
2026/2027,46,2027-05-10,hospitalizations,0.0,0.0,258.0609826675,516.42278599375,24451.58121552997
2026/2027,46,2027-05-10,deaths,0.0,0.36572215550000003,28.89817815,77.0935845,2167.85621235
2026/2027,47,2027-05-17,cases,0.0,0.0,16506.1420661165,29936.509239090876,1598470.209332068
2026/2027,47,2027-05-17,hospitalizations,0.0,0.0,257.5528741485,515.91467747475,24451.073107010972
2026/2027,47,2027-05-17,deaths,0.0,0.0,22.554353797,70.749760147,2161.512387997
2026/2027,48,2027-05-24,cases,0.0,0.0,16651.2157872135,30081.582960187876,1598615.2830531648
2026/2027,48,2027-05-24,hospitalizations,0.0,0.0,215.9932848875,474.35508821375004,24409.513517749972
2026/2027,48,2027-05-24,deaths,0.0,0.21795282350000011,24.8864129855,73.0818193355,2163.8444471855
2026/2027,49,2027-05-31,cases,0.0,0.0,15727.794813664,29158.161986638377,1597691.8620796152
2026/2027,49,2027-05-31,hospitalizations,0.0,0.0,252.54844583300002,510.91024915925004,24446.068678695472
2026/2027,49,2027-05-31,deaths,0.0,0.5723392750000001,22.4167109575,70.6121173075,2161.3747451575
2026/2027,50,2027-06-07,cases,0.0,0.0,16781.391488585,30211.75866155938,1598745.4587545362
2026/2027,50,2027-06-07,hospitalizations,0.0,0.0,256.4444204555,514.8062237817501,24449.964653317973
2026/2027,50,2027-06-07,deaths,0.0,0.0,21.7534585505,69.9488649005,2160.7114927505
2026/2027,51,2027-06-14,cases,0.0,0.0,16072.1706962935,29502.53786926788,1598036.2379622448
2026/2027,51,2027-06-14,hospitalizations,0.0,0.0,225.54054319850002,483.90234652475004,24419.06077606097
2026/2027,51,2027-06-14,deaths,0.0,0.29244302899999997,20.540373295000002,68.73577964500001,2159.4984074950003
2026/2027,52,2027-06-21,cases,0.0,0.0,15419.6640584995,28850.031231473877,1597383.7313244508
2026/2027,52,2027-06-21,hospitalizations,0.0,0.0,254.3623321965,512.7241355227501,24447.88256505897
2026/2027,52,2027-06-21,deaths,0.0,1.0508233835000003,25.0272752975,73.2226816475,2163.9853094975
