season,geography,week,target,predicted_value,predicted_per_100k,cases_q05,cases_q25,cases_q50,cases_q75,cases_q95
2026/2027,Adamawa,9,cases,416.041478438,7.94435,0.0,0.0,7.94435,13.7963125,697.2474999999995
2026/2027,Adamawa,10,cases,694.055336914,13.25305,0.0,0.0,13.25305,19.1050125,702.5561999999995
2026/2027,Adamawa,11,cases,1884.6466615000004,35.987500000000004,0.0,18.655862500000005,35.987500000000004,41.8394625,725.2906499999995
2026/2027,Adamawa,12,cases,4317.164493442001,82.43665000000001,0.0,65.10501250000002,82.43665000000001,88.28861250000001,771.7397999999995
2026/2027,Adamawa,13,cases,11017.50429477,210.38025,0.0,193.0486125,210.38025,216.2322125,899.6833999999994
2026/2027,Adamawa,14,cases,24563.050971476,469.0337,184.10939999999997,451.7020625,469.0337,474.8856625,1158.3368499999997
2026/2027,Adamawa,15,cases,76852.913651032,1467.5134,1182.5891,1450.1817625,1467.5134,1473.3653625,2156.81655
2026/2027,Adamawa,16,cases,112213.111237808,2142.7196000000004,1857.7953,2125.3879625000004,2142.7196000000004,2148.5715625000003,2832.02275
2026/2027,Adamawa,17,cases,98653.94064088,1883.806,1598.8817,1866.4743625,1883.806,1889.6579625,2573.1091499999998
2026/2027,Adamawa,18,cases,46865.518350798,894.9013500000001,609.9770500000001,877.5697125000002,894.9013500000001,900.7533125,1584.2044999999996
2026/2027,Adamawa,19,cases,17726.341044227996,338.4861,53.56179999999995,321.1544625,338.4861,344.3380625,1027.7892499999994
2026/2027,Adamawa,20,cases,2823.0501366720005,53.906400000000005,0.0,36.574762500000006,53.906400000000005,59.7583625,743.2095499999995
2026/2027,Adamawa,21,cases,1031.5478323,19.6975,0.0,2.365862499999998,19.6975,25.5494625,709.0006499999995
2026/2027,Adamawa,22,cases,1859.4045721400005,35.505500000000005,0.0,18.17386250000001,35.505500000000005,41.3574625,724.8086499999995
2026/2027,Adamawa,23,cases,2583.957275732,49.340900000000005,0.0,32.009262500000006,49.340900000000005,55.1928625,738.6440499999995
2026/2027,Adamawa,24,cases,4492.447761476001,85.78370000000001,0.0,68.45206250000001,85.78370000000001,91.6356625,775.0868499999995
2026/2027,Adamawa,25,cases,8959.747698656001,171.08720000000002,0.0,153.75556250000002,171.08720000000002,176.93916250000004,860.3903499999996
2026/2027,Adamawa,26,cases,19054.692904428,363.8511,78.92679999999996,346.5194625,363.8511,369.7030625,1053.1542499999996
2026/2027,Adamawa,27,cases,29829.150442518006,569.5903500000001,284.66605000000004,552.2587125,569.5903500000001,575.4423125000001,1258.8934999999997
2026/2027,Adamawa,28,cases,49763.163574782,950.23215,665.30785,932.9005125,950.23215,956.0841125,1639.5352999999996
2026/2027,Adamawa,29,cases,49284.202784598005,941.0863500000002,656.1620500000001,923.7547125,941.0863500000002,946.9383125000002,1630.3894999999998
2026/2027,Adamawa,30,cases,26736.803347316,510.5417,225.6174,493.2100625,510.5417,516.3936625,1199.8448499999995
2026/2027,Adamawa,31,cases,14046.010375378,268.20985,0.0,250.8782125,268.20985,274.06181250000003,957.5129999999996
2026/2027,Adamawa,32,cases,3112.1165739020003,59.42615000000001,0.0,42.09451250000001,59.42615000000001,65.2781125,748.7292999999995
2026/2027,Adamawa,33,cases,702.921489878,13.42235,0.0,0.0,13.42235,19.2743125,702.7254999999996
2026/2027,Adamawa,34,cases,320.79710516200004,6.12565,0.0,0.0,6.12565,11.9776125,695.4287999999995
2026/2027,Adamawa,35,cases,316.39806884200004,6.041650000000001,0.0,0.0,6.041650000000001,11.8936125,695.3447999999995
2026/2027,Adamawa,36,cases,357.99514680600004,6.83595,0.0,0.0,6.83595,12.6879125,696.1390999999995
2026/2027,Adamawa,37,cases,464.585367924,8.8713,0.0,0.0,8.8713,14.7232625,698.1744499999995
2026/2027,Adamawa,38,cases,426.096418598,8.13635,0.0,0.0,8.13635,13.9883125,697.4394999999995
2026/2027,Adamawa,39,cases,473.39391446,9.0395,0.0,0.0,9.0395,14.8914625,698.3426499999995
2026/2027,Adamawa,40,cases,348.70480105400003,6.65855,0.0,0.0,6.65855,12.5105125,695.9616999999995
2026/2027,Adamawa,41,cases,315.243321808,6.0196000000000005,0.0,0.0,6.0196000000000005,11.8715625,695.3227499999995
2026/2027,Adamawa,42,cases,184.201790478,3.51735,0.0,0.0,3.51735,9.3693125,692.8204999999995
2026/2027,Adamawa,43,cases,503.854622502,9.62115,0.0,0.0,9.62115,15.4731125,698.9242999999994
2026/2027,Adamawa,44,cases,429.544948856,8.2022,0.0,0.0,8.2022,14.0541625,697.5053499999995
2026/2027,Adamawa,45,cases,403.959839402,7.71365,0.0,0.0,7.71365,13.5656125,697.0167999999995
2026/2027,Adamawa,46,cases,468.696372104,8.9498,0.0,0.0,8.9498,14.8017625,698.2529499999995
2026/2027,Adamawa,47,cases,322.328912452,6.1549,0.0,0.0,6.1549,12.0068625,695.4580499999995
2026/2027,Adamawa,48,cases,543.1526802940001,10.37155,0.0,0.0,10.37155,16.223512500000002,699.6746999999995
2026/2027,Adamawa,49,cases,388.762216306,7.42345,0.0,0.0,7.42345,13.275412500000002,696.7265999999995
2026/2027,Adamawa,50,cases,573.15777386,10.9445,0.0,0.0,10.9445,16.796462500000004,700.2476499999995
2026/2027,Adamawa,51,cases,317.89845444400004,6.0703000000000005,0.0,0.0,6.0703000000000005,11.922262500000002,695.3734499999995
2026/2027,Adamawa,52,cases,435.651230224,8.3188,0.0,0.0,8.3188,14.1707625,697.6219499999995
2026/2027,Akwa Ibom,1,cases,713.4364167295,12.34195,0.0,0.0,12.34195,18.193912500000003,701.6450999999995
2026/2027,Akwa Ibom,2,cases,313.301709619,5.4199,0.0,0.0,5.4199,11.2718625,694.7230499999995
2026/2027,Akwa Ibom,3,cases,374.645235191,6.4811000000000005,0.0,0.0,6.4811000000000005,12.3330625,695.7842499999995
2026/2027,Akwa Ibom,4,cases,364.99744550200006,6.314200000000001,0.0,0.0,6.314200000000001,12.166162500000002,695.6173499999995
2026/2027,Akwa Ibom,5,cases,274.658525634,4.7514,0.0,0.0,4.7514,10.6033625,694.0545499999995
2026/2027,Akwa Ibom,6,cases,351.6529742635,6.08335,0.0,0.0,6.08335,11.935312500000002,695.3864999999995
2026/2027,Akwa Ibom,7,cases,511.957156265,8.8565,0.0,0.0,8.8565,14.7084625,698.1596499999995
2026/2027,Akwa Ibom,8,cases,670.304611598,11.5958,0.0,0.0,11.5958,17.447762500000003,700.8989499999996
2026/2027,Akwa Ibom,9,cases,748.053426048,12.9408,0.0,0.0,12.9408,18.7927625,702.2439499999995
2026/2027,Akwa Ibom,10,cases,1862.751763183,32.2243,0.0,14.8926625,32.2243,38.0762625,721.5274499999995
2026/2027,Akwa Ibom,11,cases,5242.0476225875,90.68375,0.0,73.3521125,90.68375,96.5357125,779.9868999999995
2026/2027,Akwa Ibom,12,cases,15050.933433185995,260.3706,0.0,243.0389625,260.3706,266.2225625,949.6737499999996
2026/2027,Akwa Ibom,13,cases,55744.966396818505,964.34885,679.4245500000001,947.0172125,964.34885,970.2008125,1653.6519999999996
2026/2027,Akwa Ibom,14,cases,125162.77860671347,2165.22835,1880.30405,2147.8967125,2165.22835,2171.0803125,2854.531499999999
2026/2027,Akwa Ibom,15,cases,139783.9489648735,2418.16435,2133.24005,2400.8327125,2418.16435,2424.0163125,3107.4675
2026/2027,Akwa Ibom,16,cases,112825.43776381,1951.801,1666.8767000000005,1934.4693625,1951.801,1957.6529625,2641.10415
2026/2027,Akwa Ibom,17,cases,57490.3550239585,994.54285,709.61855,977.2112125,994.54285,1000.3948125,1683.8459999999995
2026/2027,Akwa Ibom,18,cases,21247.409894393004,367.5653,82.64100000000002,350.23366250000004,367.5653,373.4172625000001,1056.8684499999997
2026/2027,Akwa Ibom,19,cases,3429.6331587525,59.33025,0.0,41.9986125,59.33025,65.1822125,748.6333999999995
2026/2027,Akwa Ibom,20,cases,586.6596045279999,10.1488,0.0,0.0,10.1488,16.0007625,699.4519499999996
2026/2027,Akwa Ibom,21,cases,485.152602168,8.392800000000001,0.0,0.0,8.392800000000001,14.244762500000002,697.6959499999995
2026/2027,Akwa Ibom,22,cases,990.803144562,17.1402,0.0,0.0,17.1402,22.9921625,706.4433499999996
2026/2027,Akwa Ibom,23,cases,1491.4101300335,25.80035,0.0,8.468712500000002,25.80035,31.6523125,715.1034999999995
2026/2027,Akwa Ibom,24,cases,2626.8029471485,45.44185,0.0,28.110212500000003,45.44185,51.2938125,734.7449999999995
2026/2027,Akwa Ibom,25,cases,4579.2519857085,79.21785,0.0,61.8862125,79.21785,85.0698125,768.5209999999995
2026/2027,Akwa Ibom,26,cases,10433.0093605875,180.48375,0.0,163.15211250000002,180.48375,186.33571250000003,869.7868999999995
2026/2027,Akwa Ibom,27,cases,12684.629478512,219.4352,0.0,202.1035625,219.4352,225.2871625,908.7383499999996
2026/2027,Akwa Ibom,28,cases,28820.384315934505,498.57245000000006,213.64815000000004,481.24081250000006,498.57245000000006,504.4244125000001,1187.8755999999996
2026/2027,Akwa Ibom,29,cases,21976.416306046,380.1766,95.2523,362.8449625,380.1766,386.0285625,1069.4797499999995
2026/2027,Akwa Ibom,30,cases,19648.639923737,339.90770000000003,54.98340000000002,322.57606250000003,339.90770000000003,345.75966250000005,1029.2108499999997
2026/2027,Akwa Ibom,31,cases,6723.8070726415,116.31715,0.0,98.9855125,116.31715,122.1691125,805.6202999999995
2026/2027,Akwa Ibom,32,cases,2646.147661465,45.7765,0.0,28.4448625,45.7765,51.6284625,735.0796499999994
2026/2027,Akwa Ibom,33,cases,548.9095203075001,9.49575,0.0,0.0,9.49575,15.347712500000002,698.7988999999995
2026/2027,Akwa Ibom,34,cases,401.7128057235,6.949350000000001,0.0,0.0,6.949350000000001,12.801312500000002,696.2524999999995
2026/2027,Akwa Ibom,35,cases,334.9008505255,5.793550000000001,0.0,0.0,5.793550000000001,11.645512500000002,695.0966999999995
2026/2027,Akwa Ibom,36,cases,390.2123398239999,6.750399999999999,0.0,0.0,6.750399999999999,12.6023625,696.0535499999995
2026/2027,Akwa Ibom,37,cases,307.83038970250004,5.3252500000000005,0.0,0.0,5.3252500000000005,11.1772125,694.6283999999995
2026/2027,Akwa Ibom,38,cases,293.202629482,5.0722000000000005,0.0,0.0,5.0722000000000005,10.9241625,694.3753499999995
2026/2027,Akwa Ibom,39,cases,352.7050400055,6.1015500000000005,0.0,0.0,6.1015500000000005,11.953512500000002,695.4046999999995
2026/2027,Akwa Ibom,40,cases,239.350736886,4.1406,0.0,0.0,4.1406,9.992562500000002,693.4437499999995
2026/2027,Akwa Ibom,41,cases,259.8168839165,4.49465,0.0,0.0,4.49465,10.3466125,693.7977999999995
2026/2027,Akwa Ibom,42,cases,368.3993174205,6.37305,0.0,0.0,6.37305,12.225012500000002,695.6761999999995
2026/2027,Akwa Ibom,43,cases,419.884062097,7.2637,0.0,0.0,7.2637,13.1156625,696.5668499999995
2026/2027,Akwa Ibom,44,cases,355.3987907515,6.148149999999999,0.0,0.0,6.148149999999999,12.0001125,695.4512999999995
2026/2027,Akwa Ibom,45,cases,299.4658889955,5.18055,0.0,0.0,5.18055,11.0325125,694.4836999999995
2026/2027,Akwa Ibom,46,cases,262.9499588185,4.54885,0.0,0.0,4.54885,10.4008125,693.8519999999995
2026/2027,Akwa Ibom,47,cases,348.4331906465,6.02765,0.0,0.0,6.02765,11.8796125,695.3307999999995
2026/2027,Akwa Ibom,48,cases,218.6533666155,3.78255,0.0,0.0,3.78255,9.6345125,693.0856999999995
2026/2027,Akwa Ibom,49,cases,368.951362906,6.382600000000001,0.0,0.0,6.382600000000001,12.234562500000004,695.6857499999995
2026/2027,Akwa Ibom,50,cases,283.05770982700005,4.896700000000001,0.0,0.0,4.896700000000001,10.748662500000002,694.1998499999995
2026/2027,Akwa Ibom,51,cases,350.401478477,6.0617,0.0,0.0,6.0617,11.9136625,695.3648499999995
2026/2027,Akwa Ibom,52,cases,332.86319572299993,5.758299999999999,0.0,0.0,5.758299999999999,11.6102625,695.0614499999995
2026/2027,Anambra,1,cases,1427.895245595,19.560450000000003,0.0,2.228812500000004,19.560450000000003,25.4124125,708.8635999999995
2026/2027,Anambra,2,cases,588.79614078,8.0658,0.0,0.0,8.0658,13.9177625,697.3689499999995
2026/2027,Anambra,3,cases,325.2365401850001,4.455350000000001,0.0,0.0,4.455350000000001,10.307312500000002,693.7584999999995
2026/2027,Anambra,4,cases,519.4469957800001,7.1158,0.0,0.0,7.1158,12.9677625,696.4189499999995
2026/2027,Anambra,5,cases,316.85989346,4.3406,0.0,0.0,4.3406,10.1925625,693.6437499999995
2026/2027,Anambra,6,cases,365.502843745,5.00695,0.0,0.0,5.00695,10.8589125,694.3100999999995
2026/2027,Anambra,7,cases,460.16077671500005,6.303650000000001,0.0,0.0,6.303650000000001,12.155612500000002,695.6067999999995
2026/2027,Anambra,8,cases,533.933667175,7.31425,0.0,0.0,7.31425,13.1662125,696.6173999999995
2026/2027,Anambra,9,cases,1070.56100114,14.665400000000002,0.0,0.0,14.665400000000002,20.517362500000004,703.9685499999995
2026/2027,Anambra,10,cases,2555.10719829,35.0019,0.0,17.6702625,35.0019,40.8538625,724.3050499999995
2026/2027,Anambra,11,cases,6666.182913170001,91.3187,0.0,73.98706250000001,91.3187,97.1706625,780.6218499999995
2026/2027,Anambra,12,cases,22936.751564645005,314.20595000000003,29.281650000000013,296.87431250000003,314.20595000000003,320.05791250000004,1003.5090999999996
2026/2027,Anambra,13,cases,62691.265734455,858.7950500000001,573.87075,841.4634125,858.7950500000001,864.6470125000001,1548.0981999999997
2026/2027,Anambra,14,cases,129873.308352485,1779.10835,1494.1840499999998,1761.7767125,1779.10835,1784.9603125,2468.4114999999997
2026/2027,Anambra,15,cases,168046.34447021,2302.0331,2017.1088,2284.7014625,2302.0331,2307.8850625,2991.3362499999994
2026/2027,Anambra,16,cases,163606.82390470002,2241.217,1956.2927,2223.8853625,2241.217,2247.0689625,2930.5201499999994
2026/2027,Anambra,17,cases,74524.938138065,1020.90215,735.9778500000001,1003.5705125000002,1020.90215,1026.7541125,1710.2052999999996
2026/2027,Anambra,18,cases,30610.183359525003,419.32275,134.39845000000005,401.9911125,419.32275,425.17471250000006,1108.6258999999995
2026/2027,Anambra,19,cases,4526.44789379,62.0069,0.0,44.6752625,62.0069,67.8588625,751.3100499999995
2026/2027,Anambra,20,cases,884.4753453750001,12.11625,0.0,0.0,12.11625,17.9682125,701.4193999999995
2026/2027,Anambra,21,cases,719.3148816249999,9.85375,0.0,0.0,9.85375,15.7057125,699.1568999999995
2026/2027,Anambra,22,cases,1384.96082493,18.9723,0.0,1.6406625000000012,18.9723,24.824262500000003,708.2754499999995
2026/2027,Anambra,23,cases,1328.638369325,18.20075,0.0,0.8691125,18.20075,24.0527125,707.5038999999995
2026/2027,Anambra,24,cases,3016.129364385,41.31735,0.0,23.9857125,41.31735,47.1693125,730.6204999999995
2026/2027,Anambra,25,cases,6530.116240725,89.45475,0.0,72.1231125,89.45475,95.3067125,778.7578999999995
2026/2027,Anambra,26,cases,9613.12738053,131.6883,0.0,114.3566625,131.6883,137.5402625,820.9914499999995
2026/2027,Anambra,27,cases,29358.58094043,402.17730000000006,117.25300000000004,384.84566250000006,402.17730000000006,408.0292625000001,1091.4804499999996
2026/2027,Anambra,28,cases,29571.092270395,405.08845,120.16415,387.7568125,405.08845,410.9404125,1094.3915999999997
2026/2027,Anambra,29,cases,54565.962210665006,747.4881500000001,462.5638500000001,730.1565125000002,747.4881500000001,753.3401125000001,1436.7912999999996
2026/2027,Anambra,30,cases,22012.772756305003,301.54855000000003,16.624250000000018,284.21691250000003,301.54855000000003,307.40051250000005,990.8516999999996
2026/2027,Anambra,31,cases,7335.460561700001,100.487,0.0,83.15536250000001,100.487,106.3389625,789.7901499999995
2026/2027,Anambra,32,cases,3574.663728260001,48.96860000000001,0.0,31.63696250000001,48.96860000000001,54.82056250000001,738.2717499999995
2026/2027,Anambra,33,cases,636.23825587,8.7157,0.0,0.0,8.7157,14.5676625,698.0188499999995
2026/2027,Anambra,34,cases,510.7710527450001,6.996950000000002,0.0,0.0,6.996950000000002,12.848912500000004,696.3000999999995
2026/2027,Anambra,35,cases,416.5876139250001,5.70675,0.0,0.0,5.70675,11.558712500000002,695.0098999999996
2026/2027,Anambra,36,cases,445.363859145,6.10095,0.0,0.0,6.10095,11.9529125,695.4040999999995
2026/2027,Anambra,37,cases,330.51437511499995,4.52765,0.0,0.0,4.52765,10.3796125,693.8307999999995
2026/2027,Anambra,38,cases,432.74231475500005,5.928050000000001,0.0,0.0,5.928050000000001,11.780012500000002,695.2311999999995
2026/2027,Anambra,39,cases,397.731946395,5.44845,0.0,0.0,5.44845,11.3004125,694.7515999999995
2026/2027,Anambra,40,cases,279.42595498000003,3.8278,0.0,0.0,3.8278,9.6797625,693.1309499999995
2026/2027,Anambra,41,cases,366.773028085,5.02435,0.0,0.0,5.02435,10.8763125,694.3274999999995
2026/2027,Anambra,42,cases,356.6407530050001,4.88555,0.0,0.0,4.88555,10.7375125,694.1886999999995
2026/2027,Anambra,43,cases,490.94084723,6.725300000000001,0.0,0.0,6.725300000000001,12.577262500000002,696.0284499999995
2026/2027,Anambra,44,cases,382.96787842,5.2462,0.0,0.0,5.2462,11.0981625,694.5493499999995
2026/2027,Anambra,45,cases,417.062108075,5.71325,0.0,0.0,5.71325,11.5652125,695.0163999999995
2026/2027,Anambra,46,cases,425.95339845500007,5.835050000000001,0.0,0.0,5.835050000000001,11.687012500000002,695.1381999999995
2026/2027,Anambra,47,cases,571.54645345,7.829499999999999,0.0,0.0,7.829499999999999,13.6814625,697.1326499999996
2026/2027,Anambra,48,cases,409.302303745,5.60695,0.0,0.0,5.60695,11.4589125,694.9100999999995
2026/2027,Anambra,49,cases,461.12071488,6.316800000000001,0.0,0.0,6.316800000000001,12.1687625,695.6199499999996
2026/2027,Anambra,50,cases,293.50748137,4.0207,0.0,0.0,4.0207,9.8726625,693.3238499999995
2026/2027,Anambra,51,cases,515.917489295,7.06745,0.0,0.0,7.06745,12.9194125,696.3705999999995
2026/2027,Anambra,52,cases,339.24871743,4.6473,0.0,0.0,4.6473,10.4992625,693.9504499999995
2026/2027,Bauchi,1,cases,2173.5056217940005,28.8238,0.0,11.492162500000004,28.8238,34.675762500000005,718.1269499999995
2026/2027,Bauchi,2,cases,550.6833078955,7.30285,0.0,0.0,7.30285,13.154812500000002,696.6059999999995
2026/2027,Bauchi,3,cases,771.6548964475002,10.233250000000002,0.0,0.0,10.233250000000002,16.085212500000004,699.5363999999995
2026/2027,Bauchi,4,cases,906.6666971310002,12.023700000000002,0.0,0.0,12.023700000000002,17.875662500000004,701.3268499999995
2026/2027,Bauchi,5,cases,630.85186658,8.366,0.0,0.0,8.366,14.2179625,697.6691499999995
2026/2027,Bauchi,6,cases,849.1955340765,11.261550000000002,0.0,0.0,11.261550000000002,17.113512500000002,700.5646999999996
2026/2027,Bauchi,7,cases,1000.909903305,13.2735,0.0,0.0,13.2735,19.1254625,702.5766499999995
2026/2027,Bauchi,8,cases,441.2682877655,5.851850000000001,0.0,0.0,5.851850000000001,11.703812500000002,695.1549999999995
2026/2027,Bauchi,9,cases,965.687466432,12.8064,0.0,0.0,12.8064,18.658362500000003,702.1095499999996
2026/2027,Bauchi,10,cases,680.333697186,9.0222,0.0,0.0,9.0222,14.8741625,698.3253499999995
2026/2027,Bauchi,11,cases,1362.808942664,18.0728,0.0,0.7411625000000015,18.0728,23.9247625,707.3759499999995
2026/2027,Bauchi,12,cases,1699.009402519,22.5313,0.0,5.199662500000002,22.5313,28.3832625,711.8344499999995
2026/2027,Bauchi,13,cases,3779.568812175,50.1225,0.0,32.7908625,50.1225,55.9744625,739.4256499999995
2026/2027,Bauchi,14,cases,6668.8077736085,88.43795,0.0,71.1063125,88.43795,94.2899125,777.7410999999995
2026/2027,Bauchi,15,cases,28405.4776934305,376.69735,91.77305,359.36571250000003,376.69735,382.5493125,1066.0004999999996
2026/2027,Bauchi,16,cases,65536.4412904045,869.10715,584.18285,851.7755125000001,869.10715,874.9591125000001,1558.4102999999996
2026/2027,Bauchi,17,cases,118560.89799579352,1572.2874500000005,1287.36315,1554.9558125000003,1572.2874500000005,1578.1394125000002,2261.5905999999995
2026/2027,Bauchi,18,cases,137440.105308064,1822.6528,1537.7285000000002,1805.3211625,1822.6528,1828.5047625,2511.95595
2026/2027,Bauchi,19,cases,137371.176107581,1821.7387,1536.8144000000002,1804.4070625,1821.7387,1827.5906625,2511.04185
2026/2027,Bauchi,20,cases,30474.903314167004,404.1409,119.21660000000004,386.8092625000001,404.1409,409.99286250000006,1093.4440499999996
