season,state,region,zone,epi_week_of_season,population,cases_per_100k,cases_q05,cases_q25,cases_q50,cases_q75,cases_q95,cases,cases_q05_count,cases_q25_count,cases_q50_count,cases_q75_count,cases_q95_count
2026/2027,Abia,South,SE,14,4841943,2033.2000500000004,1748.2757500000002,2015.8684125000004,2033.2000500000004,2039.0520125000003,2722.5032,98446.38749697151,84650.51529782251,97607.19948825489,98446.38749697151,98729.73618560289,131822.053117176
2026/2027,Abia,South,SE,15,4841943,3139.24825,2854.32395,3121.9166125,3139.24825,3145.1002125,3828.5513999999994,152000.6108934975,138204.73869434852,151161.42288478088,152000.6108934975,152283.95958212888,185376.27651370197
2026/2027,Abia,South,SE,16,4841943,2722.4019,2437.4775999999997,2705.0702625,2722.4019,2728.2538624999997,3411.7050499999996,131817.14822891698,118021.27602976799,130977.96022020037,131817.14822891698,132100.49691754836,165192.81384912148
2026/2027,Abia,South,SE,17,4841943,652.37625,367.45195,635.0446125000001,652.37625,658.2282125,1341.6793999999995,31587.6861705375,17791.8139713885,30748.49816182088,31587.6861705375,31871.034859168878,64963.35179074198
2026/2027,Abia,South,SE,18,4841943,311.69190000000003,26.767600000000016,294.36026250000003,311.69190000000003,317.54386250000005,1000.9950499999995,15091.944133617,1296.0719344680008,14252.756124900377,15091.944133617,15375.292822248377,48467.609753821474
2026/2027,Abia,South,SE,19,4841943,45.82665,0.0,28.4950125,45.82665,51.6786125,735.1297999999995,2218.9002718095003,0.0,1379.7122630928752,2218.9002718095003,2502.248960440875,35594.565892013976
2026/2027,Abia,South,SE,20,4841943,12.49585,0.0,0.0,12.49585,18.347812500000003,701.7989999999995,605.0419343655001,0.0,0.0,605.0419343655001,888.3906229968752,33980.70755456998
2026/2027,Abia,South,SE,21,4841943,14.6091,0.0,0.0,14.6091,20.4610625,703.9122499999995,707.364294813,0.0,0.0,707.364294813,990.7129834443751,34083.029915017476
2026/2027,Abia,South,SE,22,4841943,9.84735,0.0,0.0,9.84735,15.699312500000001,699.1504999999995,476.80307401050004,0.0,0.0,476.80307401050004,760.151762641875,33852.46869421498
2026/2027,Abia,South,SE,23,4841943,23.7357,0.0,6.404062500000002,23.7357,29.5876625,713.0388499999995,1149.269064651,0.0,310.0810559343751,1149.269064651,1432.6177532823751,34524.93468485548
2026/2027,Abia,South,SE,24,4841943,51.04385,0.0,33.7122125,51.04385,56.8958125,740.3469999999995,2471.5141220054998,0.0,1632.326113288875,2471.5141220054998,2754.862810636875,35847.17974220998
2026/2027,Abia,South,SE,25,4841943,132.8659,0.0,115.53426250000001,132.8659,138.71786250000002,822.1690499999995,6433.291144437001,0.0,5594.103135720376,6433.291144437001,6716.639833068376,39808.95676464147
2026/2027,Abia,South,SE,26,4841943,156.784,0.0,139.4523625,156.784,162.6359625,846.0871499999995,7591.391913119999,0.0,6752.2039044033745,7591.391913119999,7874.740601751375,40967.05753332448
2026/2027,Abia,South,SE,27,4841943,310.38820000000004,25.463900000000024,293.05656250000004,310.38820000000004,316.24016250000005,999.6913499999996,15028.819722726003,1232.947523577001,14189.631714009378,15028.819722726003,15312.168411357377,48404.48534293048
2026/2027,Abia,South,SE,28,4841943,598.8153500000001,313.89105000000006,581.4837125000001,598.8153500000001,604.6673125000001,1288.1184999999996,28994.297922250506,15198.425723101504,28155.109913533885,28994.297922250506,29277.646610881882,62369.96354245498
2026/2027,Abia,South,SE,29,4841943,445.5682,160.64389999999997,428.2365625,445.5682,451.4201625,1134.8713499999994,21574.158270125998,7778.286070976998,20734.970261409377,21574.158270125998,21857.506958757378,54949.823890330474
2026/2027,Abia,South,SE,30,4841943,374.0967,89.17239999999998,356.7650625,374.0967,379.9486625,1063.3998499999996,18113.548978880997,4317.676779731999,17274.360970164376,18113.548978880997,18396.897667512378,51489.21459908548
2026/2027,Abia,South,SE,31,4841943,180.7931,0.0,163.4614625,180.7931,186.64506250000002,870.0962499999995,8753.898849933,0.0,7914.710841216376,8753.898849933,9037.247538564376,42129.56447013748
2026/2027,Abia,South,SE,32,4841943,29.219800000000003,0.0,11.888162500000004,29.219800000000003,35.071762500000006,718.5229499999995,1414.806060714,0.0,575.6180519973752,1414.806060714,1698.1547493453752,34790.471680918476
2026/2027,Abia,South,SE,33,4841943,11.6555,0.0,0.0,11.6555,17.507462500000003,700.9586499999995,564.352666365,0.0,0.0,564.352666365,847.7013549963751,33940.01828656947
2026/2027,Abia,South,SE,34,4841943,6.563600000000001,0.0,0.0,6.563600000000001,12.415562500000002,695.8667499999995,317.80577074800004,0.0,0.0,317.80577074800004,601.1544593793751,33693.47139095247
2026/2027,Abia,South,SE,35,4841943,5.4729,0.0,0.0,5.4729,11.324862500000002,694.7760499999995,264.994698447,0.0,0.0,264.994698447,548.343387078375,33640.66031865148
2026/2027,Abia,South,SE,36,4841943,4.627350000000001,0.0,0.0,4.627350000000001,10.479312500000002,693.9304999999995,224.05364941050004,0.0,0.0,224.05364941050004,507.4023380418751,33599.71926961497
2026/2027,Abia,South,SE,37,4841943,3.6111500000000003,0.0,0.0,3.6111500000000003,9.463112500000001,692.9142999999995,174.84982464450002,0.0,0.0,174.84982464450002,458.1985132758751,33550.51544484897
2026/2027,Abia,South,SE,38,4841943,5.813650000000001,0.0,0.0,5.813650000000001,11.665612500000002,695.1167999999996,281.49361921950003,0.0,0.0,281.49361921950003,564.8423078508752,33657.15923942398
2026/2027,Abia,South,SE,39,4841943,6.03965,0.0,0.0,6.03965,11.8916125,695.3427999999996,292.4364103995,0.0,0.0,292.4364103995,575.785099030875,33668.10203060398
2026/2027,Abia,South,SE,40,4841943,6.183400000000001,0.0,0.0,6.183400000000001,12.035362500000002,695.4865499999995,299.39670346200006,0.0,0.0,299.39670346200006,582.7453920933751,33675.062323666476
2026/2027,Abia,South,SE,41,4841943,8.109200000000001,0.0,0.0,8.109200000000001,13.961162500000002,697.4123499999995,392.64284175600005,0.0,0.0,392.64284175600005,675.9915303873751,33768.30846196047
2026/2027,Abia,South,SE,42,4841943,6.200150000000001,0.0,0.0,6.200150000000001,12.052112500000002,695.5032999999995,300.2077289145,0.0,0.0,300.2077289145,583.5564175458751,33675.87334911898
2026/2027,Abia,South,SE,43,4841943,4.77065,0.0,0.0,4.77065,10.6226125,694.0737999999996,230.9921537295,0.0,0.0,230.9921537295,514.3408423608751,33606.65777393398
2026/2027,Abia,South,SE,44,4841943,4.858750000000001,0.0,0.0,4.858750000000001,10.710712500000001,694.1618999999995,235.25790551250003,0.0,0.0,235.25790551250003,518.6065941438751,33610.92352571698
2026/2027,Abia,South,SE,45,4841943,5.98405,0.0,0.0,5.98405,11.8360125,695.2871999999995,289.7442900915,0.0,0.0,289.7442900915,573.092978722875,33665.40991029598
2026/2027,Abia,South,SE,46,4841943,5.8855,0.0,0.0,5.8855,11.737462500000001,695.1886499999995,284.97255526500004,0.0,0.0,284.97255526500004,568.3212438963751,33660.638175469474
2026/2027,Abia,South,SE,47,4841943,5.126,0.0,0.0,5.126,10.9779625,694.4291499999995,248.19799818,0.0,0.0,248.19799818,531.546686811375,33623.86361838448
2026/2027,Abia,South,SE,48,4841943,6.965400000000001,0.0,0.0,6.965400000000001,12.817362500000002,696.2685499999995,337.26069772200003,0.0,0.0,337.26069772200003,620.609386353375,33712.92631792648
2026/2027,Abia,South,SE,49,4841943,4.652,0.0,0.0,4.652,10.5039625,693.9551499999995,225.24718836,0.0,0.0,225.24718836,508.595876991375,33600.91280856448
2026/2027,Abia,South,SE,50,4841943,6.76065,0.0,0.0,6.76065,12.612612500000001,696.0637999999996,327.3468194295,0.0,0.0,327.3468194295,610.695508060875,33703.01243963398
2026/2027,Abia,South,SE,51,4841943,4.42175,0.0,0.0,4.42175,10.273712500000002,693.7248999999995,214.09861460250002,0.0,0.0,214.09861460250002,497.4473032338751,33589.76423480698
2026/2027,Abia,South,SE,52,4841943,4.99245,0.0,0.0,4.99245,10.8444125,694.2955999999995,241.7315833035,0.0,0.0,241.7315833035,525.080271934875,33617.39720350798
2026/2027,Adamawa,North,NE,1,5236948,35.87295,0.0,18.541312500000004,35.87295,41.7249125,725.1760999999995,1878.6477375660002,0.0,970.9988941425001,1878.6477375660002,2185.1119706705,37977.09526542797
2026/2027,Adamawa,North,NE,2,5236948,7.115500000000001,0.0,0.0,7.115500000000001,12.967462500000002,696.4186499999995,372.63503494,0.0,0.0,372.63503494,679.0992680445,36471.082562801974
2026/2027,Adamawa,North,NE,3,5236948,9.274500000000002,0.0,0.0,9.274500000000002,15.126462500000002,698.5776499999995,485.7007422600001,0.0,0.0,485.7007422600001,792.1649753645002,36584.14827012197
2026/2027,Adamawa,North,NE,4,5236948,6.800200000000001,0.0,0.0,6.800200000000001,12.652162500000003,696.1033499999995,356.12293789600005,0.0,0.0,356.12293789600005,662.5871710005001,36454.57046575798
2026/2027,Adamawa,North,NE,5,5236948,5.75265,0.0,0.0,5.75265,11.604612500000002,695.0557999999995,301.263289122,0.0,0.0,301.263289122,607.7275222265,36399.71081698398
2026/2027,Adamawa,North,NE,6,5236948,5.5366,0.0,0.0,5.5366,11.3885625,694.8397499999995,289.948862968,0.0,0.0,289.948862968,596.4130960725,36388.39639082997
2026/2027,Adamawa,North,NE,7,5236948,8.234,0.0,0.0,8.234,14.0859625,697.5371499999995,431.21029832000005,0.0,0.0,431.21029832000005,737.6745314245001,36529.657826181974
2026/2027,Adamawa,North,NE,8,5236948,9.040849999999999,0.0,0.0,9.040849999999999,14.8928125,698.3439999999995,473.46461325799993,0.0,0.0,473.46461325799993,779.9288463625,36571.912141119974
2026/2027,Adamawa,North,NE,9,5236948,7.94435,0.0,0.0,7.94435,13.7963125,697.2474999999995,416.041478438,0.0,0.0,416.041478438,722.5057115425001,36514.48900629997
2026/2027,Adamawa,North,NE,10,5236948,13.25305,0.0,0.0,13.25305,19.1050125,702.5561999999995,694.055336914,0.0,0.0,694.055336914,1000.5195700185001,36792.502864775975
2026/2027,Adamawa,North,NE,11,5236948,35.987500000000004,0.0,18.655862500000005,35.987500000000004,41.8394625,725.2906499999995,1884.6466615000004,0.0,976.9978180765003,1884.6466615000004,2191.1108946045,37983.094189361975
2026/2027,Adamawa,North,NE,12,5236948,82.43665000000001,0.0,65.10501250000002,82.43665000000001,88.28861250000001,771.7397999999995,4317.164493442001,0.0,3409.5156500185008,4317.164493442001,4623.628726546501,40415.612021303976
2026/2027,Adamawa,North,NE,13,5236948,210.38025,0.0,193.0486125,210.38025,216.2322125,899.6833999999994,11017.50429477,0.0,10109.8554513465,11017.50429477,11323.9685278745,47115.95182263197
2026/2027,Adamawa,North,NE,14,5236948,469.03369999999995,184.10939999999994,451.70206249999995,469.03369999999995,474.88566249999997,1158.3368499999995,24563.050971475997,9641.713541111996,23655.402128052498,24563.050971475997,24869.515204580497,60661.49849933797
2026/2027,Adamawa,North,NE,15,5236948,1467.5134,1182.5891000000001,1450.1817625,1467.5134,1473.3653625,2156.8165499999996,76852.913651032,61931.57622066801,75945.2648076085,76852.913651032,77159.3778841365,112951.36117889399
2026/2027,Adamawa,North,NE,16,5236948,2142.7196000000004,1857.7953000000002,2125.3879625000004,2142.7196000000004,2148.5715625000003,2832.02275,112213.11123780801,97291.77380744401,111305.46239438452,112213.11123780801,112519.57547091252,148311.55876567002
2026/2027,Adamawa,North,NE,17,5236948,1883.806,1598.8817,1866.4743625,1883.806,1889.6579625,2573.1091499999993,98653.94064088,83732.603210516,97746.2917974565,98653.94064088,98960.40487398449,134752.38816874198
2026/2027,Adamawa,North,NE,18,5236948,894.9013500000001,609.9770500000001,877.5697125000002,894.9013500000001,900.7533125000001,1584.2044999999996,46865.518350798004,31944.180920434002,45957.869507374504,46865.518350798004,47171.9825839025,82963.96587865998
2026/2027,Adamawa,North,NE,19,5236948,338.48609999999996,53.56179999999995,321.15446249999997,338.48609999999996,344.3380625,1027.7892499999994,17726.341044227996,2805.0036138639975,16818.692200804497,17726.341044227996,18032.8052773325,53824.788572089965
2026/2027,Adamawa,North,NE,20,5236948,53.906400000000005,0.0,36.574762500000006,53.906400000000005,59.758362500000004,743.2095499999995,2823.0501366720005,0.0,1915.4012932485002,2823.0501366720005,3129.5143697765006,38921.49766453397
2026/2027,Adamawa,North,NE,21,5236948,19.697499999999998,0.0,2.3658624999999986,19.697499999999998,25.549462499999997,709.0006499999995,1031.5478323,0.0,123.89898887649993,1031.5478323,1338.0120654045,37129.99536016197
2026/2027,Adamawa,North,NE,22,5236948,35.505500000000005,0.0,18.173862500000006,35.505500000000005,41.357462500000004,724.8086499999995,1859.4045721400003,0.0,951.7557287165002,1859.4045721400003,2165.8688052445004,37957.852100001975
2026/2027,Adamawa,North,NE,23,5236948,49.340900000000005,0.0,32.009262500000006,49.340900000000005,55.192862500000004,738.6440499999995,2583.957275732,0.0,1676.3084323085004,2583.957275732,2890.4215088365,38682.40480359398
2026/2027,Adamawa,North,NE,24,5236948,85.78370000000001,0.0,68.45206250000001,85.78370000000001,91.63566250000001,775.0868499999995,4492.447761476001,0.0,3584.7989180525005,4492.447761476001,4798.9119945805005,40590.895289337976
2026/2027,Adamawa,North,NE,25,5236948,171.08720000000002,0.0,153.75556250000002,171.08720000000002,176.93916250000004,860.3903499999996,8959.747698656001,0.0,8052.098855232501,8959.747698656001,9266.211931760501,45058.19522651797
2026/2027,Adamawa,North,NE,26,5236948,363.8511,78.92679999999996,346.5194625,363.8511,369.7030625,1053.1542499999996,19054.692904427997,4133.3554740639975,18147.044061004497,19054.692904427997,19361.1571375325,55153.14043228998
2026/2027,Adamawa,North,NE,27,5236948,569.5903500000001,284.66605000000004,552.2587125,569.5903500000001,575.4423125000001,1258.8934999999997,29829.150442518006,14907.813012154002,28921.5015990945,29829.150442518006,30135.614675622503,65927.59797037998
2026/2027,Adamawa,North,NE,28,5236948,950.23215,665.30785,932.9005125000001,950.23215,956.0841125000001,1639.5352999999996,49763.163574782,34841.826144418,48855.51473135851,49763.163574782,50069.62780788651,85861.61110264398
2026/2027,Adamawa,North,NE,29,5236948,941.0863500000002,656.1620500000001,923.7547125000001,941.0863500000002,946.9383125000002,1630.3894999999998,49284.202784598005,34362.86535423401,48376.553941174505,49284.202784598005,49590.667017702515,85382.65031245998
2026/2027,Adamawa,North,NE,30,5236948,510.5417,225.61739999999998,493.2100625,510.5417,516.3936625,1199.8448499999995,26736.803347316,11815.465916952,25829.1545038925,26736.803347316,27043.2675804205,62835.250875177975
2026/2027,Adamawa,North,NE,31,5236948,268.20985,0.0,250.87821250000002,268.20985,274.06181250000003,957.5129999999995,14046.010375378,0.0,13138.3615319545,14046.010375378,14352.474608482502,50144.45790323998
2026/2027,Adamawa,North,NE,32,5236948,59.42615000000001,0.0,42.09451250000001,59.42615000000001,65.2781125,748.7292999999995,3112.1165739020003,0.0,2204.4677304785005,3112.1165739020003,3418.5808070065004,39210.56410176397
2026/2027,Adamawa,North,NE,33,5236948,13.42235,0.0,0.0,13.42235,19.2743125,702.7254999999996,702.921489878,0.0,0.0,702.921489878,1009.3857229825,36801.36901773998
2026/2027,Adamawa,North,NE,34,5236948,6.12565,0.0,0.0,6.12565,11.977612500000001,695.4287999999995,320.79710516200004,0.0,0.0,320.79710516200004,627.2613382665,36419.24463302397
2026/2027,Adamawa,North,NE,35,5236948,6.041650000000001,0.0,0.0,6.041650000000001,11.893612500000001,695.3447999999995,316.39806884200004,0.0,0.0,316.39806884200004,622.8623019465001,36414.84559670397
2026/2027,Adamawa,North,NE,36,5236948,6.83595,0.0,0.0,6.83595,12.687912500000001,696.1390999999995,357.99514680600004,0.0,0.0,357.99514680600004,664.4593799105,36456.442674667975
2026/2027,Adamawa,North,NE,37,5236948,8.8713,0.0,0.0,8.8713,14.7232625,698.1744499999995,464.58536792399997,0.0,0.0,464.58536792399997,771.0496010285001,36563.032895785975
2026/2027,Adamawa,North,NE,38,5236948,8.13635,0.0,0.0,8.13635,13.988312500000001,697.4394999999995,426.096418598,0.0,0.0,426.096418598,732.5606517025,36524.54394645998
2026/2027,Adamawa,North,NE,39,5236948,9.0395,0.0,0.0,9.0395,14.891462500000001,698.3426499999995,473.39391446,0.0,0.0,473.39391446,779.8581475645001,36571.84144232197
2026/2027,Adamawa,North,NE,40,5236948,6.65855,0.0,0.0,6.65855,12.5105125,695.9616999999995,348.70480105400003,0.0,0.0,348.70480105400003,655.1690341585,36447.152328915974
2026/2027,Adamawa,North,NE,41,5236948,6.0196000000000005,0.0,0.0,6.0196000000000005,11.871562500000001,695.3227499999995,315.243321808,0.0,0.0,315.243321808,621.7075549125001,36413.69084966997
2026/2027,Adamawa,North,NE,42,5236948,3.51735,0.0,0.0,3.51735,9.369312500000001,692.8204999999995,184.20179047800002,0.0,0.0,184.20179047800002,490.6660235825001,36282.64931833997
2026/2027,Adamawa,North,NE,43,5236948,9.62115,0.0,0.0,9.62115,15.473112500000001,698.9242999999994,503.85462250200004,0.0,0.0,503.85462250200004,810.3188556065,36602.30215036397
2026/2027,Adamawa,North,NE,44,5236948,8.2022,0.0,0.0,8.2022,14.0541625,697.5053499999995,429.544948856,0.0,0.0,429.544948856,736.0091819605001,36527.99247671798
2026/2027,Adamawa,North,NE,45,5236948,7.71365,0.0,0.0,7.71365,13.5656125,697.0167999999995,403.959839402,0.0,0.0,403.959839402,710.4240725065,36502.40736726397
2026/2027,Adamawa,North,NE,46,5236948,8.9498,0.0,0.0,8.9498,14.8017625,698.2529499999995,468.696372104,0.0,0.0,468.696372104,775.1606052085,36567.14389996597
2026/2027,Adamawa,North,NE,47,5236948,6.1549,0.0,0.0,6.1549,12.0068625,695.4580499999995,322.328912452,0.0,0.0,322.328912452,628.7931455565,36420.77644031397
2026/2027,Adamawa,North,NE,48,5236948,10.371550000000001,0.0,0.0,10.371550000000001,16.223512500000002,699.6746999999995,543.1526802940001,0.0,0.0,543.1526802940001,849.6169133985001,36641.60020815597
2026/2027,Adamawa,North,NE,49,5236948,7.42345,0.0,0.0,7.42345,13.275412500000002,696.7265999999995,388.76221630599997,0.0,0.0,388.76221630599997,695.2264494105001,36487.20974416798
2026/2027,Adamawa,North,NE,50,5236948,10.944500000000001,0.0,0.0,10.944500000000001,16.796462500000004,700.2476499999995,573.15777386,0.0,0.0,573.15777386,879.6220069645002,36671.605301721975
2026/2027,Adamawa,North,NE,51,5236948,6.0703000000000005,0.0,0.0,6.0703000000000005,11.922262500000002,695.3734499999995,317.89845444400004,0.0,0.0,317.89845444400004,624.3626875485002,36416.345982305975
2026/2027,Adamawa,North,NE,52,5236948,8.3188,0.0,0.0,8.3188,14.1707625,697.6219499999995,435.651230224,0.0,0.0,435.651230224,742.1154633285001,36534.09875808597
2026/2027,Akwa Ibom,South,SS,1,5780581,12.34195,0.0,0.0,12.34195,18.193912500000003,701.6450999999995,713.4364167295,0.0,0.0,713.4364167295,1051.7138491316252,40559.16333803097
2026/2027,Akwa Ibom,South,SS,2,5780581,5.4199,0.0,0.0,5.4199,11.271862500000001,694.7230499999995,313.301709619,0.0,0.0,313.301709619,651.579142021125,40159.028630920475
2026/2027,Akwa Ibom,South,SS,3,5780581,6.4811000000000005,0.0,0.0,6.4811000000000005,12.3330625,695.7842499999995,374.64523519100004,0.0,0.0,374.64523519100004,712.922667593125,40220.37215649247
2026/2027,Akwa Ibom,South,SS,4,5780581,6.314200000000001,0.0,0.0,6.314200000000001,12.166162500000002,695.6173499999995,364.99744550200006,0.0,0.0,364.99744550200006,703.2748779041251,40210.72436680347
2026/2027,Akwa Ibom,South,SS,5,5780581,4.7514,0.0,0.0,4.7514,10.603362500000001,694.0545499999995,274.658525634,0.0,0.0,274.658525634,612.935958036125,40120.38544693547
2026/2027,Akwa Ibom,South,SS,6,5780581,6.08335,0.0,0.0,6.08335,11.935312500000002,695.3864999999995,351.6529742635,0.0,0.0,351.6529742635,689.9304066656251,40197.37989556497
2026/2027,Akwa Ibom,South,SS,7,5780581,8.8565,0.0,0.0,8.8565,14.708462500000001,698.1596499999995,511.95715626500004,0.0,0.0,511.95715626500004,850.2345886671251,40357.68407756647
2026/2027,Akwa Ibom,South,SS,8,5780581,11.5958,0.0,0.0,11.5958,17.447762500000003,700.8989499999996,670.304611598,0.0,0.0,670.304611598,1008.5820440001253,40516.03153289948
2026/2027,Akwa Ibom,South,SS,9,5780581,12.9408,0.0,0.0,12.9408,18.792762500000002,702.2439499999995,748.053426048,0.0,0.0,748.053426048,1086.330858450125,40593.780347349464
2026/2027,Akwa Ibom,South,SS,10,5780581,32.2243,0.0,14.8926625,32.2243,38.0762625,721.5274499999995,1862.751763183,0.0,860.882418869125,1862.751763183,2201.029195585125,41708.478684484464
2026/2027,Akwa Ibom,South,SS,11,5780581,90.68375,0.0,73.3521125,90.68375,96.5357125,779.9868999999995,5242.0476225875,0.0,4240.178278273625,5242.0476225875,5580.325054989626,45087.77454388897
2026/2027,Akwa Ibom,South,SS,12,5780581,260.37059999999997,0.0,243.03896249999997,260.37059999999997,266.2225625,949.6737499999995,15050.933433185997,0.0,14049.064088872123,15050.933433185997,15389.210865588124,54896.66035448747
2026/2027,Akwa Ibom,South,SS,13,5780581,964.3488500000001,679.4245500000001,947.0172125000001,964.3488500000001,970.2008125000001,1653.6519999999996,55744.966396818505,39274.686446635504,54743.097052504636,55744.966396818505,56083.24382922063,95590.69331811999
2026/2027,Akwa Ibom,South,SS,14,5780581,2165.22835,1880.3040499999997,2147.8967125,2165.22835,2171.0803124999998,2854.531499999999,125162.77860671349,108692.49865653047,124160.90926239961,125162.77860671349,125501.05603911562,165008.50552801494
2026/2027,Akwa Ibom,South,SS,15,5780581,2418.16435,2133.24005,2400.8327125,2418.16435,2424.0163125,3107.4674999999997,139783.9489648735,123313.66901469049,138782.07962055964,139783.9489648735,140122.22639727563,179629.675886175
2026/2027,Akwa Ibom,South,SS,16,5780581,1951.8010000000002,1666.8767000000003,1934.4693625000002,1951.8010000000002,1957.6529625,2641.1041499999997,112825.43776381001,96355.15781362701,111823.56841949614,112825.43776381001,113163.71519621211,152671.1646851115
2026/2027,Akwa Ibom,South,SS,17,5780581,994.54285,709.61855,977.2112125000001,994.54285,1000.3948125000001,1683.8459999999995,57490.3550239585,41020.0750737755,56488.48567964463,57490.3550239585,57828.632456360625,97336.08194525997
2026/2027,Akwa Ibom,South,SS,18,5780581,367.56530000000004,82.64100000000002,350.23366250000004,367.56530000000004,373.41726250000005,1056.8684499999995,21247.409894393004,4777.129944210002,20245.540550079128,21247.409894393004,21585.68732679513,61093.136815694466
2026/2027,Akwa Ibom,South,SS,19,5780581,59.33025,0.0,41.9986125,59.33025,65.1822125,748.6333999999995,3429.6331587524996,0.0,2427.763814438625,3429.6331587524996,3767.9105911546253,43275.36008005397
2026/2027,Akwa Ibom,South,SS,20,5780581,10.1488,0.0,0.0,10.1488,16.0007625,699.4519499999996,586.6596045279999,0.0,0.0,586.6596045279999,924.937036930125,40432.386525829475
2026/2027,Akwa Ibom,South,SS,21,5780581,8.392800000000001,0.0,0.0,8.392800000000001,14.244762500000002,697.6959499999995,485.15260216800004,0.0,0.0,485.15260216800004,823.430034570125,40330.87952346947
2026/2027,Akwa Ibom,South,SS,22,5780581,17.1402,0.0,0.0,17.1402,22.9921625,706.4433499999996,990.803144562,0.0,0.0,990.803144562,1329.080576964125,40836.53006586347
2026/2027,Akwa Ibom,South,SS,23,5780581,25.80035,0.0,8.468712500000002,25.80035,31.6523125,715.1034999999995,1491.4101300335,0.0,489.54078571962515,1491.4101300335,1829.6875624356248,41337.137051334976
2026/2027,Akwa Ibom,South,SS,24,5780581,45.44185,0.0,28.110212500000003,45.44185,51.2938125,734.7449999999995,2626.8029471485,0.0,1624.9336028346252,2626.8029471485,2965.080379550625,42472.52986844997
2026/2027,Akwa Ibom,South,SS,25,5780581,79.21785,0.0,61.8862125,79.21785,85.0698125,768.5209999999995,4579.2519857085,0.0,3577.382641394625,4579.2519857085,4917.529418110626,44424.97890700997
2026/2027,Akwa Ibom,South,SS,26,5780581,180.48375000000001,0.0,163.15211250000002,180.48375000000001,186.33571250000003,869.7868999999995,10433.0093605875,0.0,9431.140016273626,10433.0093605875,10771.286792989626,50278.736281888974
2026/2027,Akwa Ibom,South,SS,27,5780581,219.4352,0.0,202.1035625,219.4352,225.28716250000002,908.7383499999995,12684.629478512,0.0,11682.760134198124,12684.629478512,13022.906910914126,52530.35639981347
2026/2027,Akwa Ibom,South,SS,28,5780581,498.57245000000006,213.64815000000004,481.24081250000006,498.57245000000006,504.4244125000001,1187.8755999999996,28820.384315934505,12350.104365751502,27818.514971620625,28820.384315934505,29158.661748336628,68666.11123723598
2026/2027,Akwa Ibom,South,SS,29,5780581,380.1766,95.25229999999999,362.8449625,380.1766,386.0285625,1069.4797499999995,21976.416306045998,5506.136355862999,20974.546961732125,21976.416306045998,22314.693738448124,61822.14322734747
2026/2027,Akwa Ibom,South,SS,30,5780581,339.90770000000003,54.98340000000002,322.57606250000003,339.90770000000003,345.75966250000005,1029.2108499999995,19648.639923737002,3178.359973554001,18646.770579423126,19648.639923737002,19986.91735613913,59494.36684503847
