season,geography,week,target,q05,q25,q50,q75,q95
2026/2027,National,10,hospitalizations,0.0,349.1871188360001,856.6350156860001,1114.99681901225,25050.15524854847
2026/2027,National,10,deaths,0.0,12.810101986500005,70.5904540515,118.78586040150002,2209.5484882515
2026/2027,National,11,cases,0.0,79908.81845105776,116808.631638227,130238.99881120138,1698772.6989041783
2026/2027,National,11,hospitalizations,0.0,1436.5770527195002,1995.668492012,2254.03029533825,26189.18872487447
2026/2027,National,11,deaths,0.0,77.4483225805,144.6514726965,192.8468790465,2283.6095068965
2026/2027,National,12,cases,22992.531591022496,310343.9505773518,350028.137772031,363458.5049450054,1931992.2050379824
2026/2027,National,12,hospitalizations,381.3968945671498,4733.022687514501,5331.1661958135,5589.52799913975,29524.686428675974
2026/2027,National,12,deaths,20.00593721929998,324.72361029350003,403.6706552185,451.8660615685,2542.6286894185
2026/2027,National,13,cases,520964.954168455,906723.709103962,946500.1525336476,959930.519706622,2528464.2197995987
2026/2027,National,13,hospitalizations,9214.17668029285,15228.140823328002,15836.320951078002,16094.68275440425,40029.84118394047
2026/2027,National,13,deaths,529.4952920016999,1092.315941692,1177.231657642,1225.427063992,3316.189691842
2026/2027,National,14,cases,1730003.3896588194,2218115.472402315,2257891.915832001,2271322.283004975,3839855.983097952
2026/2027,National,14,hospitalizations,27436.882511632957,34941.456389727005,35549.636517477,35807.99832080325,59743.15675033948
2026/2027,National,14,deaths,1546.9896958987,2203.4714330745,2288.3871490245,2336.5825553745,4427.3451832245
2026/2027,National,15,cases,3351662.3862857907,3965792.724641311,4005569.168070996,4018999.53524397,5587533.235336947
2026/2027,National,15,hospitalizations,45467.1155860841,54517.20038702351,55125.380514773504,55383.74231809976,79318.90074763597
2026/2027,National,15,deaths,3534.1051712684,4335.582121408501,4420.4978373585,4468.6932437085,6559.4558715585
2026/2027,National,16,cases,3311793.398601682,3925923.7369572017,3965700.180386888,3979130.5475598616,5547664.247652839
2026/2027,National,16,hospitalizations,52734.47445773637,62276.1264187805,62884.3065465305,63142.66834985675,87077.82677939297
2026/2027,National,16,deaths,4639.9367887845,5452.167086943001,5537.082802893,5585.278209243,7676.040837093
2026/2027,National,17,cases,2727642.119209628,3341772.4575651474,3381548.900994833,3394979.2681678077,4963512.968260785
2026/2027,National,17,hospitalizations,40086.45558464838,49628.1075456925,50236.2876734425,50494.64947676876,74429.80790630498
2026/2027,National,17,deaths,3846.68215194,4658.9124500985,4743.8281660485,4792.0235723985,6882.7862002485
2026/2027,National,18,cases,1719010.9687711871,2333141.3071267065,2372917.750556392,2386348.1177293663,3954881.817822344
2026/2027,National,18,hospitalizations,20678.03504694837,30219.6870079925,30827.8671357425,31086.22893906875,55021.38736860497
2026/2027,National,18,deaths,2679.6869767907,3456.7449795470006,3541.660695497,3589.856101847,5680.618729697
2026/2027,National,19,cases,873168.3894308751,1256013.7753686744,1295790.21879836,1309220.5859713345,2877754.2860643114
2026/2027,National,19,hospitalizations,8768.1107339625,14842.4838920025,15450.6640197525,15709.025823078751,39644.18425261497
2026/2027,National,19,deaths,1309.821614751,1791.4330950375002,1875.7658809855,1923.9612873355,4014.7239151855
2026/2027,National,20,cases,152308.81995210703,373318.7834283044,409484.6542403455,422915.0214133199,1991448.721506297
2026/2027,National,20,hospitalizations,1781.373952110925,5169.547915034001,5722.735269847501,5981.097073173751,29916.255502709973
2026/2027,National,20,deaths,417.9704898383,709.405103731,772.9993743560001,821.1947807060001,2911.957408556
2026/2027,National,21,cases,0.0,79922.79800314238,112374.0080136525,125804.37518662689,1694338.075279604
2026/2027,National,21,hospitalizations,0.0,1116.593489339,1606.003321885,1864.3651252112504,25799.523554747477
2026/2027,National,21,deaths,0.0,132.31118705350002,181.4135363095,229.6089426595,2320.3715705095
2026/2027,National,22,cases,0.0,28729.517788833004,64083.509529023,77513.87670199737,1646047.5767949745
2026/2027,National,22,hospitalizations,0.0,284.8436539810001,844.9231632850001,1103.2849666112502,25038.44339614747
2026/2027,National,22,deaths,0.0,36.57572949950001,94.6376062235,142.8330125735,2233.5956404235003
2026/2027,National,23,cases,0.0,39052.60727993338,78829.050709619,92259.41788259338,1660793.1179755705
2026/2027,National,23,hospitalizations,0.0,592.6736404665002,1200.6418984165,1459.00370174275,25394.16213127897
2026/2027,National,23,deaths,0.0,47.978246814,113.147163391,161.342569741,2252.105197591
2026/2027,National,24,cases,0.0,110369.19412156288,150145.6375512485,163576.00472422288,1732109.7048171998
2026/2027,National,24,hospitalizations,0.0,1766.8228648055,2375.0029925555,2633.36479588175,26568.52322541797
2026/2027,National,24,deaths,0.0,148.0457699135,229.733760697,277.929167047,2368.6917948970004
2026/2027,National,25,cases,0.0,258420.1340796454,298196.57750933105,311626.9446823054,1880160.6447752824
2026/2027,National,25,hospitalizations,0.0,3913.5402149145,4521.7203426645,4780.08214599075,28715.24057552697
2026/2027,National,25,deaths,19.273518734299987,397.0420889845,481.5070336345,529.7024399845001,2620.4650678345
2026/2027,National,26,cases,71687.115219099,557673.2539850029,597449.6974146885,610880.0645876629,2179413.76468064
2026/2027,National,26,hospitalizations,343.2838066885749,7997.1684863905,8605.348614140501,8863.710417466751,32798.868847002974
2026/2027,National,26,deaths,253.4468963120999,846.2627037625,931.1784197125,979.3738260625,3070.1364539125
2026/2027,National,27,cases,436153.57669855055,1034352.2420857996,1074128.685515485,1087559.0526884594,2656092.7527814363
2026/2027,National,27,hospitalizations,6535.610107064001,16019.785834785502,16627.9659625355,16886.327765861748,40821.48619539797
2026/2027,National,27,deaths,792.2049075115999,1557.1659505175,1642.0816664675,1690.2770728175,3781.0397006675
2026/2027,National,28,cases,959657.903439675,1573509.8590468557,1613286.3024765411,1626716.6696495153,3195250.369742492
2026/2027,National,28,hospitalizations,14336.302795069629,23874.469231586503,24482.6493593365,24741.01116266275,48676.169592198974
2026/2027,National,28,deaths,1518.288141614,2301.7591756750003,2386.6748916250003,2434.870297975,4525.632925825
2026/2027,National,29,cases,1106915.245569765,1721045.5839252844,1760822.02735497,1774252.3945279445,3342786.0946209216
2026/2027,National,29,hospitalizations,13840.695705815877,23382.34766686,23990.52779461,24248.88959793625,48184.04802747248
2026/2027,National,29,deaths,1496.5297076652998,2305.989624319,2390.905340269,2439.1007466190003,4529.8633744690005
2026/2027,National,30,cases,513995.3964851925,1120955.160579825,1160731.6040095105,1174161.9711824849,2742695.671275462
2026/2027,National,30,hospitalizations,5834.165857769601,15255.875485916002,15864.055613666002,16122.41741699225,40057.57584652848
2026/2027,National,30,deaths,984.6523445497,1764.8446979875002,1849.7604139375,1897.9558202875,3988.7184481375
2026/2027,National,31,cases,25975.894295466514,482338.8274950994,522115.27092478506,535545.6380977595,2104079.338190736
2026/2027,National,31,hospitalizations,321.5002950850501,6883.442404075001,7491.622531825001,7749.984335151251,31685.142764687476
2026/2027,National,31,deaths,149.09956520129995,707.718224492,792.633940442,840.829346792,2931.5919746420004
2026/2027,National,32,cases,0.0,98595.0338839304,138371.47731361602,151801.8444865904,1720335.5445795674
2026/2027,National,32,hospitalizations,0.0,1445.3012119020002,2053.4813396520003,2311.8431429782504,26247.001572514477
2026/2027,National,32,deaths,0.0,144.5589489815,225.4149041985,273.6103105485,2364.3729383985
2026/2027,National,33,cases,0.0,3780.330517880127,35051.9985453015,48482.36571827588,1617016.065811253
2026/2027,National,33,hospitalizations,0.0,48.80798335950004,522.9237979615,781.2856012877501,24716.44403082397
2026/2027,National,33,deaths,0.0,4.9929646230000015,45.5984034345,93.7938097845,2184.5564376345
2026/2027,National,34,cases,0.0,0.0,18338.349444277,31768.71661725138,1600302.4167102284
2026/2027,National,34,hospitalizations,0.0,0.0,254.438041493,512.79984481925,24447.95827435547
2026/2027,National,34,deaths,0.0,0.9811095250000004,27.663050635500003,75.8584569855,2166.6210848355004
2026/2027,National,35,cases,0.0,0.0,15782.145614831,29212.51278780537,1597746.2128807823
2026/2027,National,35,hospitalizations,0.0,0.0,234.53062781800003,492.89243114425005,24428.050860680472
2026/2027,National,35,deaths,0.0,0.0,27.6448166185,75.8402229685,2166.6028508185
2026/2027,National,36,cases,0.0,0.0,16642.965474739,30073.332647713378,1598607.0327406905
2026/2027,National,36,hospitalizations,0.0,0.0,242.884106233,501.2459095592501,24436.404339095472
2026/2027,National,36,deaths,0.0,0.2774077199999999,20.913450814,69.108857164,2159.871485014
2026/2027,National,37,cases,0.0,0.0,17193.9378916325,30624.30506460688,1599158.005157584
2026/2027,National,37,hospitalizations,0.0,0.0,232.57246967,490.93427299625,24426.09270253247
2026/2027,National,37,deaths,0.0,0.3645657449999999,25.295273212,73.49067956200001,2164.253307412
2026/2027,National,38,cases,0.0,0.0,16885.920467122,30316.28764009638,1598849.9877330733
2026/2027,National,38,hospitalizations,0.0,0.0,217.9267178575,476.2885211837501,24411.44695071997
2026/2027,National,38,deaths,0.0,0.2604106960000003,27.8117652745,76.0071716245,2166.7697994745004
2026/2027,National,39,cases,0.0,0.0,17329.367467281,30759.734640255378,1599293.4347332325
2026/2027,National,39,hospitalizations,0.0,0.0,258.501231173,516.86303449925,24452.02146403547
2026/2027,National,39,deaths,0.0,0.1633244555000004,24.191148088,72.386554438,2163.149182288
2026/2027,National,40,cases,0.0,0.0,16228.223830725,29658.591003699377,1598192.2910966764
2026/2027,National,40,hospitalizations,0.0,0.0,248.884712879,507.24651620525,24442.404945741477
2026/2027,National,40,deaths,0.0,0.0,23.819595210000003,72.01500156,2162.7776294100004
2026/2027,National,41,cases,0.0,0.0,15893.4803873125,29323.84756028688,1597857.547653264
2026/2027,National,41,hospitalizations,0.0,0.0,238.049660705,496.41146403125,24431.569893567477
2026/2027,National,41,deaths,0.0,0.9696587970000008,22.827886624500003,71.02329297450001,2161.7859208245
2026/2027,National,42,cases,0.0,0.0,15890.968049454,29321.335222428377,1597855.035315405
2026/2027,National,42,hospitalizations,0.0,0.0,251.500188047,509.86199137325,24445.020420909477
2026/2027,National,42,deaths,0.0,0.8992621709999999,25.5406242185,73.7360305685,2164.4986584185
2026/2027,National,43,cases,0.0,0.0,16681.3368257895,30111.70399876388,1598645.404091741
2026/2027,National,43,hospitalizations,0.0,0.0,246.06811443900003,504.42991776525,24439.588347301476
2026/2027,National,43,deaths,0.0,0.0,22.0642149865,70.2596213365,2161.0222491865
2026/2027,National,44,cases,0.0,0.0,14376.847688626502,27807.21486160088,1596340.9149545778
2026/2027,National,44,hospitalizations,0.0,0.0,261.621668313,519.9834716392501,24455.141901175477
2026/2027,National,44,deaths,0.0,1.9594177725000008,25.5083588805,73.70376523050001,2164.4663930805
2026/2027,National,45,cases,0.0,0.0,17771.2594974845,31201.62667045888,1599735.3267634355
2026/2027,National,45,hospitalizations,0.0,0.0,244.491467124,502.85327045025,24438.011699986477
2026/2027,National,45,deaths,0.0,0.6832401700000003,22.763647938,70.959054288,2161.721682138
2026/2027,National,46,cases,0.0,0.0,16293.963570262002,29724.330743236376,1598258.0308362134
2026/2027,National,46,hospitalizations,0.0,0.0,258.0609826675,516.42278599375,24451.58121552997
2026/2027,National,46,deaths,0.0,0.3657221555,28.89817815,77.0935845,2167.85621235
2026/2027,National,47,cases,0.0,0.0,16506.1420661165,29936.50923909088,1598470.209332068
2026/2027,National,47,hospitalizations,0.0,0.0,257.5528741485,515.91467747475,24451.07310701097
2026/2027,National,47,deaths,0.0,0.0,22.554353797,70.749760147,2161.512387997
2026/2027,National,48,cases,0.0,0.0,16651.2157872135,30081.58296018788,1598615.2830531648
2026/2027,National,48,hospitalizations,0.0,0.0,215.9932848875,474.3550882137501,24409.51351774997
2026/2027,National,48,deaths,0.0,0.2179528235000001,24.8864129855,73.0818193355,2163.8444471855
2026/2027,National,49,cases,0.0,0.0,15727.794813664,29158.161986638377,1597691.8620796152
2026/2027,National,49,hospitalizations,0.0,0.0,252.548445833,510.9102491592501,24446.068678695472
2026/2027,National,49,deaths,0.0,0.5723392750000001,22.4167109575,70.6121173075,2161.3747451575
2026/2027,National,50,cases,0.0,0.0,16781.391488585,30211.75866155938,1598745.4587545362
2026/2027,National,50,hospitalizations,0.0,0.0,256.4444204555,514.8062237817501,24449.964653317973
2026/2027,National,50,deaths,0.0,0.0,21.7534585505,69.9488649005,2160.7114927505
2026/2027,National,51,cases,0.0,0.0,16072.1706962935,29502.53786926788,1598036.2379622448
2026/2027,National,51,hospitalizations,0.0,0.0,225.5405431985,483.9023465247501,24419.06077606097
2026/2027,National,51,deaths,0.0,0.2924430289999999,20.540373295,68.73577964500001,2159.4984074950003
2026/2027,National,52,cases,0.0,0.0,15419.6640584995,28850.03123147388,1597383.7313244508
2026/2027,National,52,hospitalizations,0.0,0.0,254.3623321965,512.7241355227501,24447.88256505897
2026/2027,National,52,deaths,0.0,1.0508233835000005,25.0272752975,73.2226816475,2163.9853094975
